team,salary,player,position,season
Sacramento Kings,5486250.0,Chuck Hayes, PF,2012-2013
New York Knicks,5475113.0,Sasha Vujacic, SG,2012-2013
Golden State Warriors,5400000.0,Jarrett Jack, G,2012-2013
Miami Heat,7967375.0,Mark Blount, C,2012-2013
Milwaukee Bucks,7900000.0,Ersan Ilyasova, PF,2012-2013
Orlando Magic,7750000.0,Arron Afflalo, G,2012-2013
Los Angeles Lakers,7727500.0,Metta World Peace, SF,2012-2013
Washington Wizards,7727280.0,Trevor Ariza, SF,2012-2013
Phoenix Suns,7727280.0,Marcin Gortat, C,2012-2013
Indiana Pacers,7595600.0,James Posey, SF,2012-2013
Sacramento Kings,7525000.0,Marcus Thornton, SG,2012-2013
Memphis Grizzlies,7505786.0,Mike Conley, PG,2012-2013
Phoenix Suns,7500000.0,Goran Dragic, PG,2012-2013
Washington Wizards,7459925.0,John Wall, PG,2012-2013
Chicago Bulls,7415730.0,Taj Gibson, PF,2012-2013
Orlando Magic,7372000.0,Beno Udrih, PG,2012-2013
Orlando Magic,7148600.0,Al Harrington, PF,2012-2013
Memphis Grizzlies,6764045.0,Tayshaun Prince, SF,2012-2013
Orlando Magic,6750000.0,JJ Redick, SG,2012-2013
Milwaukee Bucks,6698565.0,Samuel Dalembert, C,2012-2013
Milwaukee Bucks,6687400.0,Drew Gooden, PF,2012-2013
Oklahoma City Thunder,6665000.0,Morris Peterson, SG,2012-2013
Cleveland Cavaliers,5375760.0,Kyrie Irving, PG,2012-2013
Philadelphia 76ers,5293080.0,Evan Turner, SG,2012-2013
Sacramento Kings,5250825.0,Tyreke Evans, SG,2012-2013
Sacramento Kings,5250000.0,Jason Thompson, PF,2012-2013
Atlanta Hawks,5248750.0,Zaza Pachulia, C,2012-2013
LA Clippers,5225000.0,Jamal Crawford, SG,2012-2013
San Antonio Spurs,5220000.0,Antonio McDyess, PF,2012-2013
Atlanta Hawks,5209454.0,Speedy Claxton, PG,2012-2013
Washington Wizards,5150000.0,Martell Webster, SF,2012-2013
New Orleans Hornets,5144280.0,Anthony Davis, PF,2012-2013
New Orleans Pelicans,5104000.0,Brad Miller, C,2012-2013
Minnesota Timberwolves,5100000.0,Brandon Roy, SG,2012-2013
Atlanta Hawks,5000000.0,Lou Williams, SG,2012-2013
Denver Nuggets,5000000.0,Andre Miller, PG,2012-2013
Detroit Pistons,5000000.0,Jason Maxiell, PF,2012-2013
