team,salary,player,position,season
Toronto Raptors,5450000.0,Lou Williams, SG,2014-2015
Denver Nuggets,5381750.0,JJ Hickson, C,2014-2015
Washington Wizards,5381750.0,Martell Webster, SF,2014-2015
Miami Heat,5375000.0,Chris Andersen, PF,2014-2015
San Antonio Spurs,7500000.0,Boris Diaw, C,2014-2015
Phoenix Suns,7500000.0,Goran Dragic, PG,2014-2015
Portland Trail Blazers,7245640.0,Wesley Matthews, SG,2014-2015
Phoenix Suns,7238606.0,Isaiah Thomas, PG,2014-2015
Boston Celtics,7191011.0,Avery Bradley, SG,2014-2015
Chicago Bulls,7128000.0,Pau Gasol, C,2014-2015
New York Knicks,7097191.0,Jose Calderon, PG,2014-2015
Cleveland Cavaliers,7070730.0,Kyrie Irving, PG,2014-2015
Charlotte Hornets,7000000.0,Marvin Williams, PF,2014-2015
Toronto Raptors,7000000.0,Amir Johnson, C,2014-2015
Boston Celtics,6900000.0,Brandon Bass, PF,2014-2015
Minnesota Timberwolves,6792500.0,Kevin Martin, SG,2014-2015
LA Clippers,6792500.0,JJ Redick, SG,2014-2015
Denver Nuggets,6757913.0,Wilson Chandler, SF,2014-2015
Philadelphia 76ers,6601125.0,Jason Richardson, SG,2014-2015
New York Knicks,6515510.0,JR Smith, SG,2014-2015
Sacramento Kings,6500000.0,Carl Landry, PF,2014-2015
Toronto Raptors,6400000.0,Greivis Vasquez, PG,2014-2015
Sacramento Kings,6331404.0,Derrick Williams, PF,2014-2015
LA Clippers,5305000.0,Spencer Hawes, PF,2014-2015
Golden State Warriors,5305000.0,Shaun Livingston, PG,2014-2015
Washington Wizards,5305000.0,Paul Pierce, SF,2014-2015
Chicago Bulls,5305000.0,Nikola Mirotic, PF,2014-2015
Philadelphia 76ers,5285817.0,Keith Bogans, SG,2014-2015
Milwaukee Bucks,5200000.0,Zaza Pachulia, C,2014-2015
Cleveland Cavaliers,5138430.0,Tristan Thompson, C,2014-2015
Charlotte Hornets,5016960.0,Michael Kidd-Gilchrist, SF,2014-2015
Minnesota Timberwolves,5000000.0,Chase Budinger, SF,2014-2015
Phoenix Suns,5000000.0,Brandan Wright, F,2014-2015
Los Angeles Lakers,4994420.0,Nick Young, G,2014-2015
Orlando Magic,4978200.0,Victor Oladipo, SG,2014-2015
Milwaukee Bucks,4930560.0,Jabari Parker, PF,2014-2015
Indiana Pacers,4868499.0,Luis Scola, F,2014-2015
Memphis Grizzlies,4831461.0,Tony Allen, SG,2014-2015
Portland Trail Blazers,4800000.0,Chris Kaman, C,2014-2015
Sacramento Kings,4797664.0,Darren Collison, PG,2014-2015
Houston Rockets,4797664.0,Kostas Papanikolaou, SF,2014-2015
Minnesota Timberwolves,4702500.0,Corey Brewer, F,2014-2015
Minnesota Timberwolves,4660479.0,Ricky Rubio, PG,2014-2015
Washington Wizards,4650000.0,Andre Miller, PG,2014-2015
Denver Nuggets,4650000.0,Timofey Mozgov, C,2014-2015
Washington Wizards,4505280.0,Bradley Beal, SG,2014-2015
Orlando Magic,4500000.0,Ben Gordon, SG,2014-2015
Detroit Pistons,4500000.0,Caron Butler, SF,2014-2015
Detroit Pistons,4500000.0,Jonas Jerebko, PF,2014-2015
Washington Wizards,4470480.0,Otto Porter Jr., SF,2014-2015
Philadelphia 76ers,4427640.0,Joel Embiid, C,2014-2015
Philadelphia 76ers,4382576.0,Luc Mbah a Moute, PF,2014-2015
Washington Wizards,4250000.0,Kris Humphries, PF,2014-2015
Milwaukee Bucks,4250000.0,Jared Dudley, SF,2014-2015
Indiana Pacers,4205000.0,CJ Miles, SF,2014-2015
Atlanta Hawks,4150000.0,Thabo Sefolosha, SF,2014-2015
Oklahoma City Thunder,4062000.0,Dion Waiters, SG,2014-2015
New York Knicks,4051527.0,Samuel Dalembert, C,2014-2015
Charlotte Hornets,4030560.0,Cody Zeller, C,2014-2015
San Antonio Spurs,4025000.0,Danny Green, SG,2014-2015
Miami Heat,4000000.0,Mario Chalmers, G,2014-2015
Indiana Pacers,4000000.0,Ian Mahinmi, C,2014-2015
Orlando Magic,3992040.0,Aaron Gordon, PF,2014-2015
Charlotte Hornets,3965074.0,Mo Williams, PG,2014-2015
Memphis Grizzlies,3911981.0,Vince Carter, SF,2014-2015
Washington Wizards,3898692.0,Kevin Seraphin, C,2014-2015
Dallas Mavericks,3878896.0,Devin Harris, PG,2014-2015
Charlotte Hornets,3873398.0,Bismack Biyombo, C,2014-2015
San Antonio Spurs,3842105.0,Patty Mills, PG,2014-2015
Detroit Pistons,3800000.0,Joel Anthony, PF,2014-2015
Dallas Mavericks,3793693.0,Raymond Felton, PG,2014-2015
Toronto Raptors,3678360.0,Jonas Valanciunas, C,2014-2015
Portland Trail Blazers,3678360.0,Thomas Robinson, F,2014-2015
Golden State Warriors,3657500.0,Marreese Speights, F,2014-2015
Phoenix Suns,3649920.0,Alex Len, C,2014-2015
Utah Jazz,3615000.0,Dante Exum, PG,2014-2015
Phoenix Suns,3553917.0,Brandon Knight, PG,2014-2015
Phoenix Suns,3500000.0,Gerald Green, SG,2014-2015
Denver Nuggets,3457149.0,Darrell Arthur, F,2014-2015
Utah Jazz,3445947.0,Steve Novak, SF,2014-2015
LA Clippers,3396250.0,Matt Barnes, SF,2014-2015
Brooklyn Nets,3368100.0,Mirza Teletovic, PF,2014-2015
Portland Trail Blazers,3340920.0,Damian Lillard, PG,2014-2015
Atlanta Hawks,3333333.0,Mike Scott, PF,2014-2015
Brooklyn Nets,3326235.0,Andrei Kirilenko, SF,2014-2015
Toronto Raptors,3326235.0,Tyler Hansbrough, PF,2014-2015
Chicago Bulls,3326235.0,Mike Dunleavy, SG,2014-2015
Philadelphia 76ers,3315120.0,Nerlens Noel, PF,2014-2015
Boston Celtics,3283320.0,Marcus Smart, PG,2014-2015
Philadelphia 76ers,3282056.0,Alexey Shved, PG,2014-2015
New York Knicks,3278000.0,Jason Smith, PF,2014-2015
Boston Celtics,3278000.0,Evan Turner, SG,2014-2015
Brooklyn Nets,3278000.0,Bojan Bogdanovic, SF,2014-2015
Charlotte Hornets,3272091.0,Kemba Walker, PG,2014-2015
