team,salary,player,position,season
Boston Celtics,5058198.0,Keith Bogans, SG,2013-2014
Sacramento Kings,5016960.0,Derrick Williams, PF,2013-2014
Washington Wizards,5000000.0,Andre Miller, PG,2013-2014
Charlotte Bobcats,5000000.0,Ramon Sessions, G,2013-2014
San Antonio Spurs,7500000.0,Manu Ginobili, G,2013-2014
Utah Jazz,7500000.0,Marvin Williams, PF,2013-2014
Phoenix Suns,7500000.0,Goran Dragic, PG,2013-2014
Washington Wizards,7459925.0,John Wall, PG,2013-2014
Memphis Grizzlies,7235955.0,Tayshaun Prince, SF,2013-2014
Portland Trail Blazers,6875480.0,Wesley Matthews, SG,2013-2014
Dallas Mavericks,6791570.0,Jose Calderon, PG,2013-2014
Atlanta Hawks,6760563.0,Kyle Korver, SG,2013-2014
Philadelphia 76ers,6679867.0,Evan Turner, SG,2013-2014
LA Clippers,6500000.0,JJ Redick, SG,2013-2014
Minnesota Timberwolves,6500000.0,Kevin Martin, SG,2013-2014
Sacramento Kings,6500000.0,Carl Landry, PF,2013-2014
Philadelphia 76ers,6500000.0,Spencer Hawes, PF,2013-2014
Boston Celtics,6450000.0,Brandon Bass, PF,2013-2014
Phoenix Suns,6400000.0,Channing Frye, F,2013-2014
Denver Nuggets,6344164.0,Wilson Chandler, SF,2013-2014
Cleveland Cavaliers,6300000.0,Jarrett Jack, G,2013-2014
Toronto Raptors,6250000.0,Landry Fields, SG,2013-2014
Toronto Raptors,6210000.0,Kyle Lowry, PG,2013-2014
Minnesota Timberwolves,5000000.0,Chase Budinger, SF,2013-2014
Dallas Mavericks,5000000.0,Brandan Wright, F,2013-2014
Sacramento Kings,4916974.0,DeMarcus Cousins, C,2013-2014
Charlotte Bobcats,4809840.0,Michael Kidd-Gilchrist, SF,2013-2014
Orlando Magic,4763760.0,Victor Oladipo, SG,2013-2014
San Antonio Spurs,4702500.0,Boris Diaw, C,2013-2014
Minnesota Timberwolves,4687000.0,J.J. Barea, PG,2013-2014
Sacramento Kings,4588384.0,Luc Mbah a Moute, PF,2013-2014
Indiana Pacers,4508504.0,Luis Scola, F,2013-2014
Utah Jazz,4505280.0,Enes Kanter, C,2013-2014
Detroit Pistons,4500000.0,Jonas Jerebko, PF,2013-2014
Memphis Grizzlies,4494383.0,Tony Allen, SG,2013-2014
Milwaukee Bucks,4469548.0,Ekpe Udoh, C,2013-2014
Charlotte Bobcats,4420000.0,Luke Ridnour, PG,2013-2014
Denver Nuggets,4400000.0,Timofey Mozgov, C,2013-2014
Miami Heat,4340000.0,Udonis Haslem, PF,2013-2014
Washington Wizards,4319280.0,Bradley Beal, SG,2013-2014
Washington Wizards,4278000.0,Otto Porter Jr., SF,2013-2014
LA Clippers,4250000.0,Jared Dudley, SF,2013-2014
Detroit Pistons,4086454.0,Greg Monroe, C,2013-2014
Cleveland Cavaliers,4062000.0,Tristan Thompson, C,2013-2014
Chicago Bulls,4059000.0,Kirk Hinrich, SG,2013-2014
Atlanta Hawks,4000000.0,Elton Brand, PF,2013-2014
Indiana Pacers,4000000.0,Ian Mahinmi, C,2013-2014
Miami Heat,4000000.0,Mario Chalmers, G,2013-2014
Los Angeles Lakers,4000000.0,Steve Blake, PG,2013-2014
San Antonio Spurs,3945000.0,Matt Bonner, C,2013-2014
Oklahoma City Thunder,3900000.0,Thabo Sefolosha, SF,2013-2014
Cleveland Cavaliers,3894240.0,Dion Waiters, SG,2013-2014
Charlotte Bobcats,3857040.0,Cody Zeller, C,2013-2014
Miami Heat,3800000.0,Joel Anthony, PF,2013-2014
San Antonio Spurs,3762500.0,Danny Green, SG,2013-2014
Toronto Raptors,3750000.0,Steve Novak, SF,2013-2014
New Orleans Pelicans,3749602.0,Al-Farouq Aminu, PF,2013-2014
Dallas Mavericks,3700748.0,Samuel Dalembert, C,2013-2014
Minnesota Timberwolves,3678358.0,Ricky Rubio, PG,2013-2014
New York Knicks,3637073.0,Raymond Felton, PG,2013-2014
Toronto Raptors,3526440.0,Jonas Valanciunas, C,2013-2014
Portland Trail Blazers,3526440.0,Thomas Robinson, F,2013-2014
