team,salary,player,position,season
New York Knicks,6322320.0,Rasheed Wallace, PF,2010-2011
Phoenix Suns,6322320.0,Marcin Gortat, C,2010-2011
Oklahoma City Thunder,6053663.0,Kevin Durant, SF,2010-2011
Milwaukee Bucks,8000000.0,John Salmons, SF,2010-2011
Miami Heat,7967375.0,Mark Blount, C,2010-2011
Orlando Magic,7800000.0,Jameer Nelson, G,2010-2011
Houston Rockets,7775378.0,Luis Scola, F,2010-2011
Charlotte Bobcats,7725470.0,Joel Przybilla, C,2010-2011
Utah Jazz,7600000.0,Paul Millsap, PF,2010-2011
Memphis Grizzlies,7354500.0,Shane Battier, SF,2010-2011
Cleveland Cavaliers,7281818.0,Anderson Varejao, C,2010-2011
Portland Trail Blazers,7269264.0,Andre Miller, PG,2010-2011
Atlanta Hawks,7262500.0,Marvin Williams, PF,2010-2011
Orlando Magic,7250000.0,JJ Redick, SG,2010-2011
New Jersey Nets,7248325.0,Dan Gadzuric, C,2010-2011
Indiana Pacers,7148800.0,James Posey, SF,2010-2011
Toronto Raptors,7100000.0,Leandro Barbosa, G,2010-2011
Brooklyn Nets,7100000.0,Marko Jaric, PG,2010-2011
Dallas Mavericks,7055500.0,Shawn Marion, SG,2010-2011
Detroit Pistons,7020000.0,Charlie Villanueva, PF,2010-2011
New York Knicks,7000000.0,Raymond Felton, PG,2010-2011
New Jersey Nets,7000000.0,Travis Outlaw, SF,2010-2011
Washington Wizards,5904152.0,Andray Blatche, C,2010-2011
Denver Nuggets,5765000.0,Al Harrington, PF,2010-2011
Milwaukee Bucks,5765000.0,Drew Gooden, PF,2010-2011
Portland Trail Blazers,5765000.0,Wesley Matthews, SG,2010-2011
Houston Rockets,5750000.0,Kyle Lowry, PG,2010-2011
Chicago Bulls,5546160.0,Derrick Rose, PG,2010-2011
Oklahoma City Thunder,5543116.0,Nenad Krstic, C,2010-2011
Sacramento Kings,5500000.0,Francisco Garcia, SG,2010-2011
New Jersey Nets,5475113.0,Sasha Vujacic, SG,2010-2011
Atlanta Hawks,5444857.0,Al Horford, C,2010-2011
LA Clippers,5357280.0,Blake Griffin, PF,2010-2011
Phoenix Suns,5300000.0,Mickael Pietrus, SF,2010-2011
Los Angeles Lakers,5260000.0,Luke Walton, SF,2010-2011
Atlanta Hawks,5209454.0,Speedy Claxton, PG,2010-2011
Phoenix Suns,5200000.0,Channing Frye, F,2010-2011
Washington Wizards,5144280.0,John Wall, PG,2010-2011
Toronto Raptors,5080000.0,Reggie Evans, C,2010-2011
Detroit Pistons,5000000.0,Jason Maxiell, PF,2010-2011
Chicago Bulls,5000000.0,Kyle Korver, SG,2010-2011
Toronto Raptors,4995000.0,Linas Kleiza, SF,2010-2011
Minnesota Timberwolves,4962240.0,Michael Beasley, SF,2010-2011
Memphis Grizzlies,4913077.0,Mike Conley, PG,2010-2011
San Antonio Spurs,4860000.0,Antonio McDyess, PF,2010-2011
Toronto Raptors,4847586.0,Marcus Banks, PG,2010-2011
