team,salary,player,position,season
Chicago Bulls,130165.0,John Lucas III, PG,2010-2011
San Antonio Spurs,130022.0,Danny Green, SG,2010-2011
null Unknown,125000.0,Da'Sean Butler, NA,2010-2011
Toronto Raptors,112088.0,Sundiata Gaines, PG,2010-2011
Portland Trail Blazers,88363.0,Chris Johnson, C,2010-2011
Charlotte Bobcats,80703.0,Garrett Temple, SG,2010-2011
Cleveland Cavaliers,40375.0,Cedric Jackson, G,2010-2011
Washington Wizards,35868.0,Othyus Jeffers, SG,2010-2011
New Orleans Hornets,25073.0,Patrick Ewing Jr., SF,2010-2011
Utah Jazz,25000.0,Marcus Cousin, C,2010-2011
Washington Wizards,22287.0,Larry Owens, SF,2010-2011
New Jersey Nets,20103.0,Mario West, SG,2010-2011
Houston Rockets,15000.0,Marqus Blakely, SF,2010-2011
San Antonio Spurs,13930.0,Robert Vaden, SG,2010-2011
Portland Trail Blazers,11679.0,Earl Barron, C,2010-2011
Toronto Raptors,8967.0,Trey Johnson, SG,2010-2011
null Unknown,8358.0,Magnum Rolle, NA,2010-2011
