Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
278,DeAndre Liggins,11-12,SF,23,ORL,17,0,6.8,0.7,1.5,0.48,0.0,0.2,0.0,0.7,1.2,0.5710000000000001,0.48,0.5,1.1,0.474,0.4,0.5,0.9,0.3,0.4,0.0,0.6,0.4,1.9
279,Jeremy Lin,11-12,PG,23,NYK,35,25,26.9,4.9,10.9,0.446,0.7,2.1,0.32,4.2,8.8,0.47700000000000004,0.478,4.2,5.2,0.7979999999999999,0.5,2.5,3.1,6.2,1.6,0.3,3.6,2.2,14.6
280,Shaun Livingston,11-12,SG,26,MIL,58,27,18.8,2.2,4.7,0.469,0.0,0.1,0.667,2.2,4.6,0.466,0.47200000000000003,1.1,1.4,0.785,0.7,1.4,2.1,2.1,0.5,0.3,1.1,1.4,5.5
281,Brook Lopez,11-12,C,23,NJN,5,5,27.2,7.6,15.4,0.494,0.0,0.0,,7.6,15.4,0.494,0.494,4.0,6.4,0.625,1.6,2.0,3.6,1.2,0.2,0.8,1.2,1.6,19.2
282,Robin Lopez,11-12,C,23,PHO,64,0,14.0,1.9,4.2,0.461,0.0,0.0,,1.9,4.2,0.461,0.461,1.6,2.2,0.7140000000000001,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2.0,5.4
283,Kevin Love,11-12,PF,23,MIN,55,55,39.0,8.6,19.3,0.44799999999999995,1.9,5.1,0.37200000000000005,6.7,14.1,0.475,0.49700000000000005,6.9,8.4,0.8240000000000001,4.1,9.2,13.3,2.0,0.9,0.5,2.3,2.8,26.0
284,Kyle Lowry,11-12,PG,25,HOU,47,38,32.1,4.5,10.9,0.409,1.7,4.5,0.374,2.8,6.4,0.434,0.486,3.6,4.2,0.8640000000000001,0.8,3.7,4.5,6.6,1.6,0.3,2.8,2.8,14.3
285,John Lucas III,11-12,PG,29,CHI,49,2,14.8,2.9,7.3,0.39899999999999997,1.1,2.9,0.39299999999999996,1.8,4.4,0.40399999999999997,0.47600000000000003,0.6,0.7,0.875,0.4,1.1,1.6,2.2,0.4,0.0,0.9,0.9,7.5
286,Shelvin Mack,11-12,PG,21,WAS,64,0,12.2,1.4,3.4,0.4,0.2,0.7,0.28600000000000003,1.2,2.8,0.42700000000000005,0.42700000000000005,0.7,0.9,0.7120000000000001,0.2,1.3,1.4,2.0,0.4,0.0,0.8,0.8,3.6
287,Vernon Macklin,11-12,C,25,DET,23,0,5.9,0.8,1.5,0.5429999999999999,0.0,0.0,,0.8,1.5,0.5429999999999999,0.5429999999999999,0.3,0.6,0.5710000000000001,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,2.0
