team,salary,player,position,season
Los Angeles Lakers,4149242.0,Julius Randle, PF,2017-2018
Minnesota Timberwolves,4000000.0,Jordan Hill, C,2017-2018
Flamengo Flamengo,4000000.0,Leandro Barbosa, G,2017-2018
Utah Jazz,4000000.0,Jonas Jerebko, PF,2017-2018
Minnesota Timberwolves,3949999.0,Nemanja Bjelica, PF,2017-2018
Detroit Pistons,3940402.0,Stanley Johnson, SF,2017-2018
Dallas Mavericks,3903900.0,J.J. Barea, PG,2017-2018
Chicago Bulls,3853931.0,Quincy Pondexter, SF,2017-2018
Sacramento Kings,3704160.0,Willie Cauley-Stein, C,2017-2018
Sacramento Kings,3675480.0,Buddy Hield, SG,2017-2018
Charlotte Hornets,3627842.0,Frank Kaminsky, PF,2017-2018
Washington Wizards,3547000.0,Drew Gooden, PF,2017-2018
Denver Nuggets,3533333.0,Will Barton, SG,2017-2018
LA Clippers,3527920.0,Paul Pierce, SF,2017-2018
Denver Nuggets,3500000.0,Mike Miller, SG,2017-2018
Houston Rockets,3477600.0,Nene Hilario, C,2017-2018
Golden State Warriors,3477600.0,Zaza Pachulia, C,2017-2018
Washington Wizards,3454500.0,Jodie Meeks, SG,2017-2018
Miami Heat,3448926.0,Justise Winslow, SF,2017-2018
Charlotte Hornets,3447480.0,Malik Monk, SG,2017-2018
Indiana Pacers,3410284.0,Myles Turner, C,2017-2018
Phoenix Suns,3408520.0,Troy Daniels, SG,2017-2018
Denver Nuggets,3355320.0,Jamal Murray, PG,2017-2018
Phoenix Suns,3332340.0,Elfrid Payton, PG,2017-2018
New Orleans Pelicans,3300000.0,Rajon Rondo, PG,2017-2018
New York Knicks,3294994.0,Doug McDermott, SF,2017-2018
Detroit Pistons,3290000.0,Anthony Tolliver, PF,2017-2018
Memphis Grizzlies,3290000.0,Tyreke Evans, SG,2017-2018
Houston Rockets,3290000.0,Tarik Black, C,2017-2018
Detroit Pistons,3275280.0,Luke Kennard, SG,2017-2018
Chicago Bulls,3263294.0,Cameron Payne, PG,2017-2018
Dallas Mavericks,3218280.0,Dennis Smith Jr., PG,2017-2018
Washington Wizards,3208630.0,Kelly Oubre Jr., SF,2017-2018
Utah Jazz,3200000.0,Ekpe Udoh, C,2017-2018
Phoenix Suns,3152931.0,TJ Warren, SF,2017-2018
Phoenix Suns,3073800.0,Marquese Chriss, PF,2017-2018
Portland Trail Blazers,3057240.0,Zach Collins, PF,2017-2018
Portland Trail Blazers,3028410.0,Seth Curry, SG,2017-2018
New York Knicks,3025035.0,Mindaugas Kuzminskas, F,2017-2018
Beijing Ducks,3000000.0,Justin Hamilton, C,2017-2018
Washington Wizards,3000000.0,Tomas Satoransky, SG,2017-2018
Philadelphia 76ers,3000000.0,Tibor Pleiss, C,2017-2018
Miami Heat,2955840.0,Bam Adebayo, C,2017-2018
Toronto Raptors,2947320.0,Jakob Poeltl, C,2017-2018
Portland Trail Blazers,2947305.0,Jusuf Nurkic, C,2017-2018
Milwaukee Bucks,2799720.0,Thon Maker, PF,2017-2018
Cleveland Cavaliers,2775000.0,Cedi Osman, SF,2017-2018
Indiana Pacers,2659800.0,Domantas Sabonis, PF,2017-2018
Chicago Bulls,2639314.0,Jerian Grant, PG,2017-2018
Utah Jazz,2621280.0,Donovan Mitchell, SG,2017-2018
Denver Nuggets,2550055.0,Gary Harris, SG,2017-2018
Toronto Raptors,2536898.0,Delon Wright, PG,2017-2018
Milwaukee Bucks,2534280.0,D.J. Wilson, PF,2017-2018
Philadelphia 76ers,2526840.0,Dario Saric, PF,2017-2018
Atlanta Hawks,2526840.0,Taurean Prince, SF,2017-2018
Philadelphia 76ers,2516048.0,Justin Anderson, SG,2017-2018
San Antonio Spurs,2500000.0,Manu Ginobili, G,2017-2018
Detroit Pistons,2500000.0,Reggie Bullock, SG,2017-2018
Chicago Bulls,2494346.0,Bobby Portis, PF,2017-2018
Brooklyn Nets,2470357.0,Rondae Hollis-Jefferson, SF,2017-2018
Toronto Raptors,2451225.0,Bruno Caboclo, F,2017-2018
Cleveland Cavaliers,2445085.0,Kendrick Perkins, C,2017-2018
Denver Nuggets,2441400.0,Trey Lyles, PF,2017-2018
Indiana Pacers,2407560.0,T.J. Leaf, PF,2017-2018
Sacramento Kings,2365560.0,Justin Jackson, SF,2017-2018
Portland Trail Blazers,2361360.0,Shabazz Napier, PG,2017-2018
Houston Rockets,2334528.0,Clint Capela, C,2017-2018
Phoenix Suns,2319360.0,Devin Booker, SG,2017-2018
Atlanta Hawks,2299080.0,John Collins, PF,2017-2018
Chicago Bulls,2280600.0,Denzel Valentine, SG,2017-2018
Los Angeles Lakers,2272391.0,Larry Nance Jr., PF,2017-2018
Minnesota Timberwolves,2247480.0,Justin Patton, C,2017-2018
Boston Celtics,2247480.0,Guerschon Yabusele, PF,2017-2018
Milwaukee Bucks,2222803.0,Brandon Jennings, G,2017-2018
Denver Nuggets,2194500.0,Mo Williams, PG,2017-2018
San Antonio Spurs,2151704.0,Kyle Anderson, SF,2017-2018
New Orleans Pelicans,2100000.0,Darius Miller, SF,2017-2018
Denver Nuggets,2076840.0,Juan Hernangomez, PF,2017-2018
Brooklyn Nets,2054856.0,Sean Kilpatrick, G,2017-2018
Milwaukee Bucks,2048257.0,Kendall Marshall, PG,2017-2018
Toronto Raptors,2034120.0,OG Anunoby, SF,2017-2018
Brooklyn Nets,2034120.0,Jarrett Allen, C,2017-2018
Boston Celtics,1988520.0,Terry Rozier, PG,2017-2018
Indiana Pacers,1974159.0,Kevin Seraphin, C,2017-2018
Cleveland Cavaliers,1952760.0,Ante Zizic, C,2017-2018
Brooklyn Nets,1933941.0,Tyler Zeller, C,2017-2018
Orlando Magic,1889040.0,Rashad Vaughn, G,2017-2018
Sacramento Kings,1859400.0,Harry Giles, PF,2017-2018
Detroit Pistons,1857480.0,Henry Ellenson, PF,2017-2018
Detroit Pistons,1826300.0,Eric Moreland, C,2017-2018
LA Clippers,1794600.0,Sam Dekker, SF,2017-2018
Oklahoma City Thunder,1785000.0,Terrance Ferguson, SG,2017-2018
Philadelphia 76ers,1740000.0,Furkan Korkmaz, SG,2017-2018
Brooklyn Nets,1702800.0,Caris LeVert, SG,2017-2018
Denver Nuggets,1700640.0,Malik Beasley, SG,2017-2018
Brooklyn Nets,1656092.0,Spencer Dinwiddie, PG,2017-2018
Charlotte Hornets,1656092.0,Julyan Stone, G,2017-2018
Atlanta Hawks,1634640.0,DeAndre' Bembry, SF,2017-2018
Philadelphia 76ers,1600520.0,Richaun Holmes, PF,2017-2018
Detroit Pistons,1600520.0,Dwight Buycks, G,2017-2018
Denver Nuggets,1579440.0,Tyler Lydon, PF,2017-2018
Atlanta Hawks,1577230.0,Ryan Kelly, PF,2017-2018
Portland Trail Blazers,1577230.0,Archie Goodwin, SG,2017-2018
Dallas Mavericks,1577230.0,Jeff Withey, C,2017-2018
Toronto Raptors,1569360.0,Malachi Richardson, SG,2017-2018
Sacramento Kings,1551659.0,Caron Butler, SF,2017-2018
Toronto Raptors,1544951.0,Pascal Siakam, PF,2017-2018
Charlotte Hornets,1544951.0,Willy Hernangomez, C,2017-2018
Miami Heat,1544951.0,Okaro White, F,2017-2018
Milwaukee Bucks,1544951.0,Malcolm Brogdon, PG,2017-2018
New York Knicks,1544951.0,Troy Williams, SF,2017-2018
Atlanta Hawks,1544951.0,Isaiah Taylor, G,2017-2018
Oklahoma City Thunder,1526040.0,Mitch McGary, PF,2017-2018
San Antonio Spurs,1524305.0,Joffrey Lauvergne, F,2017-2018
Oklahoma City Thunder,1524305.0,Jerami Grant, SF,2017-2018
Charlotte Hornets,1524305.0,Johnny O'Bryant III, PF,2017-2018
Los Angeles Lakers,1524305.0,Tyler Ennis, G,2017-2018
Houston Rockets,1500000.0,Marcelo Huertas, PG,2017-2018
Golden State Warriors,1471382.0,Omri Casspi, SF,2017-2018
Memphis Grizzlies,1471382.0,Mario Chalmers, G,2017-2018
Oklahoma City Thunder,1471382.0,KJ McDaniels, F,2017-2018
Oklahoma City Thunder,1471382.0,Raymond Felton, PG,2017-2018
Portland Trail Blazers,1471382.0,Pat Connaughton, SG,2017-2018
Utah Jazz,1471382.0,Raul Neto, PG,2017-2018
Washington Wizards,1471382.0,Chris McCullough, F,2017-2018
Atlanta Hawks,1471382.0,Jeremy Evans, F,2017-2018
Portland Trail Blazers,1465920.0,Caleb Swanigan, PF,2017-2018
Memphis Grizzlies,1465080.0,Jordan Adams, SG,2017-2018
Denver Nuggets,1454756.0,Richard Jefferson, F,2017-2018
Los Angeles Lakers,1423560.0,Kyle Kuzma, PF,2017-2018
Utah Jazz,1414920.0,Tony Bradley, C,2017-2018
San Antonio Spurs,1404600.0,Derrick White, PG,2017-2018
Los Angeles Lakers,1394520.0,Josh Hart, SG,2017-2018
Philadelphia 76ers,1386600.0,Timothe Luwawu-Cabarrot, SG,2017-2018
New Orleans Pelicans,1379940.0,Josh Smith, PF,2017-2018
Orlando Magic,1378242.0,Khem Birch, C,2017-2018
Orlando Magic,1378242.0,Wesley Iwundu, SF,2017-2018
Milwaukee Bucks,1378242.0,Sterling Brown, SG,2017-2018
Charlotte Hornets,1378242.0,Dwayne Bacon, SG,2017-2018
New York Knicks,1378242.0,Damyean Dotson, SG,2017-2018
Orlando Magic,1378242.0,Rodney Purvis, G,2017-2018
Indiana Pacers,1378242.0,Alex Poythress, SF,2017-2018
Atlanta Hawks,1378242.0,Tyler Dorsey, SG,2017-2018
New York Knicks,1350000.0,Guillermo Hernangomez, C,2017-2018
Philadelphia 76ers,1333240.0,Sasha Kaun, C,2017-2018
Memphis Grizzlies,1331160.0,Brice Johnson, PF,2017-2018
Memphis Grizzlies,1312611.0,Deyonta Davis, C,2017-2018
Memphis Grizzlies,1312611.0,Wayne Selden, SG,2017-2018
Memphis Grizzlies,1312611.0,Andrew Harrison, G,2017-2018
Toronto Raptors,1312611.0,Kyle Wiltjer, F,2017-2018
San Antonio Spurs,1312611.0,Davis Bertans, SF,2017-2018
Washington Wizards,1312611.0,Chasson Randle, PG,2017-2018
Washington Wizards,1312611.0,Carrick Felix, SG,2017-2018
Washington Wizards,1312611.0,Daniel Ochefu, PF,2017-2018
Dallas Mavericks,1312611.0,Yogi Ferrell, PG,2017-2018
Minnesota Timberwolves,1312611.0,Marcus Georges-Hunt, F,2017-2018
Atlanta Hawks,1312611.0,Sheldon Mac, SG,2017-2018
Milwaukee Bucks,1300000.0,Khris Middleton, SF,2017-2018
Boston Celtics,1291892.0,Semi Ojeleye, PF,2017-2018
San Antonio Spurs,1188840.0,Livio Jean-Charles, SF,2017-2018
Sacramento Kings,1184385.0,Frank Mason III, PG,2017-2018
Boston Celtics,1167333.0,Abdel Nader, SF,2017-2018
Memphis Grizzlies,1050961.0,Tony Wroten, SG,2017-2018
New York Knicks,1050961.0,John Jenkins, G,2017-2018
Houston Rockets,1050961.0,Chris Johnson, SG,2017-2018
Phoenix Suns,1015696.0,Anthony Bennett, PF,2017-2018
Houston Rockets,1015696.0,Andrew Goudelock, PG,2017-2018
Phoenix Suns,997547.0,Isaiah Canaan, PG,2017-2018
Flamengo Flamengo,980431.0,Anderson Varejao, C,2017-2018
Golden State Warriors,980431.0,Elliot Williams, SG,2017-2018
LA Clippers,980431.0,Devyn Marble, SF,2017-2018
Orlando Magic,980431.0,Arinze Onuaku, PF,2017-2018
Minnesota Timberwolves,980431.0,Rasual Butler, SF,2017-2018
Oklahoma City Thunder,980431.0,Chris Wright, SF,2017-2018
Milwaukee Bucks,980431.0,Steve Novak, SF,2017-2018
Philadelphia 76ers,980431.0,Cory Jefferson, F,2017-2018
Sacramento Kings,980431.0,Jordan Farmar, PG,2017-2018
Brooklyn Nets,980431.0,Jorge Gutierrez, PG,2017-2018
Utah Jazz,980431.0,Henry Sims, C,2017-2018
Atlanta Hawks,980431.0,Will Bynum, PG,2017-2018
Memphis Grizzlies,950000.0,Ivan Rabb, PF,2017-2018
Memphis Grizzlies,950000.0,Rade Zagorac, SF,2017-2018
New Orleans Pelicans,895197.0,Reggie Williams, SF,2017-2018
Memphis Grizzlies,874636.0,D.J. Kennedy, SG,2017-2018
Memphis Grizzlies,874636.0,DJ Stephens, SG,2017-2018
Milwaukee Bucks,874636.0,Christian Wood, PF,2017-2018
San Antonio Spurs,874636.0,Nick Johnson, G,2017-2018
Melbourne United,874636.0,Casper Ware, G,2017-2018
Washington Wizards,874636.0,Jordan McRae, SG,2017-2018
Miami Heat,874636.0,Keith Benson, PF,2017-2018
New Orleans Pelicans,874636.0,Cliff Alexander, PF,2017-2018
Houston Rockets,872854.0,Gerald Green, SG,2017-2018
Memphis Grizzlies,815615.0,Xavier Rathan-Mayes, SG,2017-2018
Memphis Grizzlies,815615.0,Dillon Brooks, SG,2017-2018
Oklahoma City Thunder,815615.0,Dakari Johnson, C,2017-2018
Milwaukee Bucks,815615.0,JeQuan Lewis, PG,2017-2018
Minnesota Timberwolves,815615.0,Melo Trimble, PG,2017-2018
Oklahoma City Thunder,815615.0,Rashawn Thomas, PF,2017-2018
Oklahoma City Thunder,815615.0,Bryce Alford, G,2017-2018
Charlotte Hornets,815615.0,Luke Petrasek, SF,2017-2018
Charlotte Hornets,815615.0,T.J. Williams, PG,2017-2018
Charlotte Hornets,815615.0,Terry Henderson, SG,2017-2018
Utah Jazz,815615.0,Erik McCree, F,2017-2018
Utah Jazz,815615.0,Royce O'Neale, SF,2017-2018
Boston Celtics,815615.0,Daniel Theis, PF,2017-2018
Boston Celtics,815615.0,L.J. Peak, SG,2017-2018
Atlanta Hawks,815615.0,Jordan Mathews, SG,2017-2018
Atlanta Hawks,679919.0,Tyler Cavanaugh, PF,2017-2018
New Orleans Pelicans,592030.0,Emeka Okafor, C,2017-2018
Milwaukee Bucks,588120.0,DeAndre Liggins, G,2017-2018
Golden State Warriors,543471.0,Elgin Cook, SF,2017-2018
