team,salary,player,position,season
Houston Rockets,5750000.0,Kyle Lowry, PG,2011-2012
LA Clippers,5731080.0,Blake Griffin, PF,2011-2012
Dallas Mavericks,7624500.0,Brendan Haywood, C,2011-2012
Toronto Raptors,7600000.0,Leandro Barbosa, G,2011-2012
Indiana Pacers,7595600.0,James Posey, SF,2011-2012
Portland Trail Blazers,7560000.0,Raymond Felton, PG,2011-2012
Detroit Pistons,7540000.0,Charlie Villanueva, PF,2011-2012
Sacramento Kings,7525000.0,Marcus Thornton, SG,2011-2012
Atlanta Hawks,7500000.0,Marvin Williams, PF,2011-2012
Charlotte Bobcats,7305785.0,Tyrus Thomas, PF,2011-2012
Phoenix Suns,7258960.0,Marcin Gortat, C,2011-2012
Oklahoma City Thunder,7123626.0,Kendrick Perkins, C,2011-2012
Brooklyn Nets,7100000.0,Marko Jaric, PG,2011-2012
Houston Rockets,7000000.0,Samuel Dalembert, C,2011-2012
Chicago Bulls,6993708.0,Derrick Rose, PG,2011-2012
Milwaukee Bucks,6925400.0,Beno Udrih, PG,2011-2012
Charlotte Bobcats,6925400.0,DeSagana Diop, C,2011-2012
New Orleans Hornets,6790640.0,Trevor Ariza, SF,2011-2012
Los Angeles Lakers,6790640.0,Metta World Peace, SF,2011-2012
Orlando Magic,6750000.0,JJ Redick, SG,2011-2012
Golden State Warriors,6750000.0,Kwame Brown, C,2011-2012
Memphis Grizzlies,5632637.0,O.J. Mayo, SG,2011-2012
Bilbao Basket Bilbao Basket,5543116.0,Nenad Krstic, C,2011-2012
Washington Wizards,5530080.0,John Wall, PG,2011-2012
Denver Nuggets,5516664.0,Wilson Chandler, SF,2011-2012
Sacramento Kings,5486250.0,Chuck Hayes, PF,2011-2012
New York Knicks,5475113.0,Sasha Vujacic, SG,2011-2012
Miami Heat,5400000.0,Mike Miller, SG,2011-2012
Orlando Magic,5395000.0,Jason Richardson, SG,2011-2012
Philadelphia 76ers,5293080.0,Evan Turner, SG,2011-2012
Minnesota Timberwolves,5256000.0,Martell Webster, SF,2011-2012
Sacramento Kings,5251825.0,Tyreke Evans, SG,2011-2012
San Antonio Spurs,5220000.0,Antonio McDyess, PF,2011-2012
Atlanta Hawks,5209454.0,Speedy Claxton, PG,2011-2012
Philadelphia 76ers,5176000.0,Lou Williams, SG,2011-2012
Cleveland Cavaliers,5144280.0,Kyrie Irving, PG,2011-2012
Portland Trail Blazers,5127720.0,Hasheem Thabeet, C,2011-2012
Oklahoma City Thunder,5082416.0,Russell Westbrook, PG,2011-2012
Portland Trail Blazers,5000000.0,Jamal Crawford, SG,2011-2012
Detroit Pistons,5000000.0,Jason Maxiell, PF,2011-2012
New Orleans Hornets,5000000.0,Jarrett Jack, G,2011-2012
New Orleans Pelicans,4847586.0,Marcus Banks, PG,2011-2012
Philadelphia 76ers,4818000.0,Darius Songaila, PF,2011-2012
Minnesota Timberwolves,4776500.0,Darko Milicic, C,2011-2012
Utah Jazz,4753320.0,Derrick Favors, PF,2011-2012
Minnesota Timberwolves,4752000.0,Brad Miller, C,2011-2012
Atlanta Hawks,4750000.0,Zaza Pachulia, C,2011-2012
Chicago Bulls,4710000.0,Ronnie Brewer, SF,2011-2012
Minnesota Timberwolves,4609701.0,Kevin Love, PF,2011-2012
Oklahoma City Thunder,4604760.0,James Harden, PG,2011-2012
Minnesota Timberwolves,4602720.0,Derrick Williams, PF,2011-2012
Toronto Raptors,4600000.0,Linas Kleiza, SF,2011-2012
Minnesota Timberwolves,4503600.0,Nikola Pekovic, C,2011-2012
Detroit Pistons,4500000.0,Jonas Jerebko, PF,2011-2012
Washington Wizards,4455988.0,Jeff Green, SF,2011-2012
Cleveland Cavaliers,4403834.0,Daniel Gibson, SG,2011-2012
Utah Jazz,4319280.0,Enes Kanter, C,2011-2012
Minnesota Timberwolves,4300000.0,J.J. Barea, PG,2011-2012
Los Angeles Lakers,4257973.0,Ramon Sessions, G,2011-2012
LA Clippers,4250000.0,Randy Foye, SG,2011-2012
Phoenix Suns,4250000.0,Jared Dudley, SF,2011-2012
Boston Celtics,4250000.0,Brandon Bass, PF,2011-2012
Denver Nuggets,4234000.0,Chris Andersen, PF,2011-2012
Denver Nuggets,4190182.0,Danilo Gallinari, SF,2011-2012
San Antonio Spurs,4100000.0,Bruce Bowen, SF,2011-2012
Golden State Warriors,4099920.0,Charlie Bell, SG,2011-2012
Memphis Grizzlies,4080915.0,Greg Buckner, SG,2011-2012
Miami Heat,4060000.0,Udonis Haslem, PF,2011-2012
Philadelphia 76ers,4051024.0,Spencer Hawes, PF,2011-2012
Minnesota Timberwolves,4006080.0,Wesley Johnson, SF,2011-2012
New Jersey Nets,4000000.0,Jordan Farmar, PG,2011-2012
Miami Heat,4000000.0,Mario Chalmers, G,2011-2012
LA Clippers,4000000.0,Ryan Gomes, SF,2011-2012
San Antonio Spurs,3944000.0,Tiago Splitter, C,2011-2012
Charlotte Bobcats,3900000.0,Matt Carroll, SG,2011-2012
Sacramento Kings,3880800.0,DeMarcus Cousins, C,2011-2012
New Orleans Hornets,3831184.0,Eric Gordon, SG,2011-2012
Golden State Warriors,3823000.0,Dorell Wright, SF,2011-2012
Oklahoma City Thunder,3750000.0,Nazr Mohammed, C,2011-2012
Milwaukee Bucks,3750000.0,Mike Dunleavy, SG,2011-2012
Cleveland Cavaliers,3726600.0,Tristan Thompson, C,2011-2012
Utah Jazz,3700000.0,CJ Miles, SF,2011-2012
Miami Heat,3700000.0,Joel Anthony, PF,2011-2012
Washington Wizards,3695857.0,Nick Young, G,2011-2012
Minnesota Timberwolves,3680000.0,Luke Ridnour, PG,2011-2012
San Antonio Spurs,3630000.0,Matt Bonner, C,2011-2012
Phoenix Suns,3500000.0,Shannon Brown, PG,2011-2012
Milwaukee Bucks,3500000.0,Shaun Livingston, PG,2011-2012
Minnesota Timberwolves,3480120.0,Ricky Rubio, PG,2011-2012
Utah Jazz,3480000.0,Raja Bell, SG,2011-2012
Portland Trail Blazers,3414720.0,Jonny Flynn, PG,2011-2012
Chicago Bulls,3400000.0,C.J. Watson, PG,2011-2012
New Orleans Hornets,3377604.0,Marco Belinelli, G,2011-2012
Toronto Raptors,3344250.0,DeMar DeRozan, SG,2011-2012
Denver Nuggets,3343896.0,Timofey Mozgov, C,2011-2012
Oklahoma City Thunder,3341558.0,Daequan Cook, SG,2011-2012
Oklahoma City Thunder,3300000.0,Thabo Sefolosha, SF,2011-2012
Milwaukee Bucks,3294960.0,Ekpe Udoh, C,2011-2012
Oklahoma City Thunder,3272997.0,Nick Collison, F,2011-2012
Orlando Magic,3250000.0,Chris Duhon, PG,2011-2012
New Jersey Nets,3250000.0,Johan Petro, C,2011-2012
Charlotte Bobcats,3236470.0,D.J. Augustin, PG,2011-2012
Memphis Grizzlies,3150000.0,Tony Allen, SG,2011-2012
New Jersey Nets,3135000.0,Shawne Williams, SF,2011-2012
Miami Heat,3135000.0,Shane Battier, SF,2011-2012
Golden State Warriors,3117120.0,Stephen Curry, PG,2011-2012
New Jersey Nets,3076983.0,Brook Lopez, C,2011-2012
Washington Wizards,3065040.0,Jan Vesely, PF,2011-2012
Denver Nuggets,3059000.0,Corey Brewer, F,2011-2012
Toronto Raptors,3042280.0,Jerryd Bayless, PG,2011-2012
Detroit Pistons,3007920.0,Greg Monroe, C,2011-2012
Sacramento Kings,3001284.0,Jason Thompson, PF,2011-2012
Sacramento Kings,3000000.0,Travis Outlaw, SF,2011-2012
Los Angeles Lakers,3000000.0,Josh McRoberts, PF,2011-2012
Dallas Mavericks,3000000.0,Vince Carter, SF,2011-2012
Golden State Warriors,2956658.0,Brandon Rush, SG,2011-2012
Minnesota Timberwolves,2911231.0,Anthony Randolph, SF,2011-2012
Phoenix Suns,2862602.0,Robin Lopez, C,2011-2012
Toronto Raptors,2858057.0,Julian Wright, SF,2011-2012
Los Angeles Lakers,2855760.0,Jordan Hill, C,2011-2012
Minnesota Timberwolves,2840000.0,Mark Madsen, PF,2011-2012
Toronto Raptors,2812006.0,James Johnson, PF,2011-2012
Charlotte Bobcats,2798040.0,Bismack Biyombo, C,2011-2012
Indiana Pacers,2763450.0,Lou Amundson, PF,2011-2012
New Orleans Hornets,2755560.0,Al-Farouq Aminu, PF,2011-2012
Charlotte Bobcats,2750000.0,Eduardo Najera, PF,2011-2012
Memphis Grizzlies,2721255.0,Marreese Speights, F,2011-2012
Utah Jazz,2709720.0,Gordon Hayward, SF,2011-2012
Indiana Pacers,2700000.0,Dahntay Jones, SG,2011-2012
Fenerbahce Ulker Fenerbahce Ulker,2685185.0,David Andersen, C,2011-2012
Philadelphia 76ers,2674852.0,Jrue Holiday, PG,2011-2012
Indiana Pacers,2588590.0,Roy Hibbert, C,2011-2012
Detroit Pistons,2563320.0,Brandon Knight, PG,2011-2012
Milwaukee Bucks,2541000.0,Ersan Ilyasova, PF,2011-2012
New Orleans Hornets,2500000.0,Jason Smith, PF,2011-2012
LA Clippers,2500000.0,Kenyon Martin, PF,2011-2012
New Jersey Nets,2500000.0,DeShawn Stevenson, SG,2011-2012
Milwaukee Bucks,2493720.0,Brandon Jennings, G,2011-2012
Washington Wizards,2462400.0,JaVale McGee, C,2011-2012
Orlando Magic,2446200.0,Quentin Richardson, SF,2011-2012
Indiana Pacers,2406240.0,Paul George, SF,2011-2012
LA Clippers,2400000.0,Ricky Davis, SG,2011-2012
Charlotte Bobcats,2356320.0,Kemba Walker, PG,2011-2012
Sacramento Kings,2354537.0,JJ Hickson, C,2011-2012
Sacramento Kings,2339040.0,Jimmer Fredette, G,2011-2012
New York Knicks,2338709.0,JR Smith, SG,2011-2012
Oklahoma City Thunder,2329545.0,Derek Fisher, PG,2011-2012
Oklahoma City Thunder,2286000.0,Cole Aldrich, C,2011-2012
Charlotte Bobcats,2250600.0,Gerald Henderson, SG,2011-2012
Cleveland Cavaliers,2250000.0,Anthony Parker, SG,2011-2012
Boston Celtics,2246400.0,Keyon Dooling, PG,2011-2012
Detroit Pistons,2246400.0,Ben Wallace, PF,2011-2012
Orlando Magic,2244601.0,Ryan Anderson, PF,2011-2012
Houston Rockets,2225093.0,Courtney Lee, SG,2011-2012
Toronto Raptors,2207040.0,Ed Davis, PF,2011-2012
Denver Nuggets,2203792.0,Kosta Koufos, C,2011-2012
Denver Nuggets,2180443.0,Rudy Fernandez, SG,2011-2012
New Orleans Hornets,2171640.0,Xavier Henry, SG,2011-2012
Portland Trail Blazers,2155365.0,Nicolas Batum, SF,2011-2012
Utah Jazz,2150000.0,Josh Howard, SF,2011-2012
Indiana Pacers,2138040.0,Tyler Hansbrough, PF,2011-2012
Golden State Warriors,2126520.0,Klay Thompson, SG,2011-2012
Utah Jazz,2111160.0,Alec Burks, SG,2011-2012
Houston Rockets,2108000.0,Goran Dragic, PG,2011-2012
Orlando Magic,2062800.0,Anthony Johnson, PG,2011-2012
Houston Rockets,2062800.0,Brent Barry, SG,2011-2012
Minnesota Timberwolves,2050000.0,Anthony Tolliver, PF,2011-2012
Phoenix Suns,2027119.0,Darrell Arthur, F,2011-2012
